RECORD_ID,VIOLATION_CATEGORY,VIOLATION,REPORTED_DATE,RECORD_STATUS,STATUS_DATE,PARCEL_NBR,STREET_NBR,STREET_DIR,STREET_NAME,STREET_TYPE,ZIP,FID
ENV-15-08663,Environmental,Vegetation,2015-11-13T05:00:00.000Z,Closed,2015-11-23T05:00:00.000Z,71-03-34-332-023.000-026,1711,N,OLIVE,ST,46628,10001
ENV-15-08664,Environmental,Vegetation,2015-11-13T05:00:00.000Z,Closed,2015-11-23T05:00:00.000Z,71-03-34-332-011.000-026,1706,N,FREMONT,St,46628,10002
ENV-15-08665,Environmental,Vegetation,2015-11-13T05:00:00.000Z,Closed,2015-11-30T05:00:00.000Z,71-03-34-332-022.000-026,1715,N,OLIVE,ST,46628,10003
ENV-15-08666,Environmental,Litter,2015-11-13T05:00:00.000Z,Closed,2015-11-24T05:00:00.000Z,71-03-34-332-005.000-026,1738,,FREMONT,ST,46601,10004
ENV-15-08667,Environmental,Vegetation,2015-11-13T05:00:00.000Z,Closed,2015-11-24T05:00:00.000Z,71-03-34-332-004.000-026,1746,,FREMONT,ST,46601,10005
ENV-15-08668,Environmental,Vegetation,2015-11-13T05:00:00.000Z,Closed,2015-11-24T05:00:00.000Z,71-03-34-332-003.000-026,1754,,FREMONT,ST,46628,10006
ENV-15-08669,Environmental,Litter,2015-11-13T05:00:00.000Z,Closed,2015-11-23T05:00:00.000Z,71-08-03-177-013.000-026,1131,N,MEADE,ST,46628,10007
ENV-15-08862,Environmental,Litter,2015-11-18T05:00:00.000Z,Open for Collections,2016-05-12T04:00:00.000Z,71-03-35-381-004.00-026,1128,,QUEEN,St,46616,10008
ENV-15-08912,Environmental,Vegetation,2015-11-20T05:00:00.000Z,Open for Collections,2016-05-12T04:00:00.000Z,71-09-18-358-011.000-026,1209,E,EWING,Ave,46613,10009
ENV-15-08670,Environmental,Litter,2015-11-13T05:00:00.000Z,Closed,2015-11-18T05:00:00.000Z,71-08-03-177-011.000-026,1137,N,MEADE,ST,46628,10010
ENV-15-08713,Environmental,Litter,2015-11-13T05:00:00.000Z,Closed,2015-12-01T05:00:00.000Z,71-09-30-129-021.000-002,4035,,WOODVALE,DR,46614,10011
ENV-15-08913,Environmental,Litter,2015-11-20T05:00:00.000Z,Crew Assigned for Clean-Up,2015-11-30T05:00:00.000Z,71-09-19-102-012.000-026,1207,,ALTGELD,St,46614,10012
ENV-15-08671,Environmental,Litter,2015-11-13T05:00:00.000Z,Open for Collections,2016-05-12T04:00:00.000Z,71-08-03-177-001.000-026,1136,N,KALEY,ST,46628,10013
ENV-15-08863,Environmental,Litter,2015-11-18T05:00:00.000Z,Open for Collections,2016-05-12T04:00:00.000Z,71-08-14-455-004.000-026,708,W,CALVERT,St,46613,10014
ENV-15-08761,Environmental,Litter,2015-11-16T05:00:00.000Z,Closed,2015-11-23T05:00:00.000Z,71-08-10-303-002.000-026,2920,W,WESTERN,Ave,46619,10015
ENV-15-08714,Environmental,Litter,2015-11-13T05:00:00.000Z,Open for Collections,2016-05-12T04:00:00.000Z,71-08-03-480-002.000-026,518,,JOHNSON,ST,46628,10016
ENV-15-08914,Environmental,Litter,2015-11-20T05:00:00.000Z,Open for Collections,2016-05-12T04:00:00.000Z,71-08-09-479-004.000-026,814,S,FALCON,St,46619,10017
ENV-15-08864,Environmental,Litter,2015-11-18T05:00:00.000Z,Closed,2015-11-25T05:00:00.000Z,71-09-18-305-011.00-026,1703,,MARINE,St,46613,10018
ENV-15-08672,Environmental,Litter,2015-11-13T05:00:00.000Z,Closed,2015-11-23T05:00:00.000Z,71-08-03-131-010.000-026,1212,N,KALEY,St,46628,10019
ENV-15-08962,Environmental,Litter,2015-11-25T05:00:00.000Z,Closed,2015-12-09T05:00:00.000Z,71-09-07-101-006.00-026,1152,E,MCKINLEY,Ave,46617,10020
ENV-15-08762,Environmental,Litter,2015-11-16T05:00:00.000Z,Open for Collections,2016-05-12T04:00:00.000Z,71-08-10-303-003.000-026,2914,W,WESTERN,AVE,46619,10021
ENV-15-08865,Environmental,Litter,2015-11-18T05:00:00.000Z,Billed,2015-12-08T05:00:00.000Z,71-08-13-476-029.000-026,905,E,BOWMAN,ST,46613,10022
ENV-15-08915,Environmental,Litter,2015-11-20T05:00:00.000Z,Closed,2015-12-03T05:00:00.000Z,71-08-09-454-017.000-026,717,S,FALCON,St,46619,10023
ENV-15-08715,Environmental,Graffiti,2015-11-13T05:00:00.000Z,Closed,2015-11-19T05:00:00.000Z,71-08-09-430-005.000-026,520,S,KENTUCKY,ST,46619,10024
ENV-15-08963,Environmental,Vegetation,2015-11-25T05:00:00.000Z,Closed,2015-12-03T05:00:00.000Z,71-03-34-426-018.000-026,1849,N,BROOKFIELD,St,46628,10025
ENV-15-08763,Environmental,Litter,2015-11-16T05:00:00.000Z,Closed,2015-11-23T05:00:00.000Z,71-08-03-227-031.000-026,1345,,COLLEGE,ST,46628,10026
ENV-15-08673,Environmental,Litter,2015-11-13T05:00:00.000Z,Closed,2015-12-07T05:00:00.000Z,71-08-03-131-002.000-026,1244,N,KALEY,ST,46628,10027
ENV-15-08866,Environmental,Litter,2015-11-18T05:00:00.000Z,Open for Collections,2016-05-12T04:00:00.000Z,71-08-13-476-014.000-026,914,E,CALVERT,,46613,10028
ENV-15-08916,Environmental,Litter,2015-11-20T05:00:00.000Z,Closed,2015-11-30T05:00:00.000Z,71-09-19-102-004.000-026,1214,E,EWING,Ave,46613,10029
ENV-15-08716,Environmental,Litter,2015-11-13T05:00:00.000Z,Closed,2015-11-19T05:00:00.000Z,71-08-09-430-003.000-026,512,S,KENTUCKY,ST,46619,10030
ENV-15-08764,Environmental,Litter,2015-11-16T05:00:00.000Z,Billed,2015-12-08T05:00:00.000Z,71-09-18-385-010.000-026,1414,E,FOX,ST,46613,10031
ENV-15-08964,Environmental,Litter,2015-11-25T05:00:00.000Z,Closed,2015-12-07T05:00:00.000Z,71-03-34-426-025.000-026,1821,N,BROOKFIELD,,46628,10032
